_class,_id,batchId,Year,Quarter,Month,Day,createdBy,designId,Year,Quarter,Month,Day,lastModifiedBy,qrCode,type,urlPrefix
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5db382ecd43e5d5bb86,6632d5db382ecd43e5d5bb85,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d390382ecd43e5d5bb17,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,uvtStT,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5dc382ecd43e5d5bb88,6632d5dc382ecd43e5d5bb87,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d391382ecd43e5d5bb18,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,D89DEe,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5dc382ecd43e5d5bb8a,6632d5dc382ecd43e5d5bb89,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d391382ecd43e5d5bb19,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,C67Cdd,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5dd382ecd43e5d5bb8c,6632d5dd382ecd43e5d5bb8b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d392382ecd43e5d5bb1a,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,B45BCc,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5de382ecd43e5d5bb8e,6632d5de382ecd43e5d5bb8d,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d392382ecd43e5d5bb1b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,A23ABb,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5de382ecd43e5d5bb90,6632d5de382ecd43e5d5bb8f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d393382ecd43e5d5bb1c,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,Ijk34J,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5df382ecd43e5d5bb92,6632d5df382ecd43e5d5bb91,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d393382ecd43e5d5bb1d,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,HiJ12I,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5df382ecd43e5d5bb94,6632d5df382ecd43e5d5bb93,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d394382ecd43e5d5bb1e,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,GeFGHh,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5e0382ecd43e5d5bb96,6632d5e0382ecd43e5d5bb95,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d394382ecd43e5d5bb1f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,EabEFf,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5e0382ecd43e5d5bb98,6632d5e0382ecd43e5d5bb97,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d395382ecd43e5d5bb20,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,NtuCcD,URL,https://securetag.in/found
